date,open,high,low,close,volume
2021-10-04 05:07:30,4332.2,4332.2,4332.0,4332.2,53
2021-10-04 05:07:40,4333.0,4333.0,4332.8,4332.8,21
2021-10-04 05:07:45,4332.5,4332.8,4332.5,4332.8,17
2021-10-04 05:07:50,4333.0,4333.0,4333.0,4333.0,4
2021-10-04 05:07:55,4332.8,4332.8,4332.8,4332.8,21
2021-10-04 05:08:00,4332.5,4332.5,4332.5,4332.5,4
2021-10-04 05:08:05,4332.5,4332.5,4332.5,4332.5,0
2021-10-04 05:08:10,4332.5,4332.5,4331.8,4332.0,34
2021-10-04 05:08:15,4332.0,4332.2,4332.0,4332.0,8
2021-10-04 05:08:20,4332.2,4332.2,4331.8,4331.8,22
2021-10-04 05:08:25,4331.8,4332.0,4331.8,4332.0,8
2021-10-04 05:08:30,4332.0,4332.2,4332.0,4332.0,6
2021-10-04 05:08:40,4332.0,4332.2,4331.8,4331.8,8
2021-10-04 05:08:45,4331.5,4331.8,4331.5,4331.8,17
2021-10-04 05:08:50,4331.5,4331.5,4331.2,4331.2,10
2021-10-04 05:08:55,4331.0,4331.0,4330.5,4330.8,117
2021-10-04 05:09:00,4330.8,4331.2,4330.8,4331.2,22
2021-10-04 05:09:05,4331.2,4331.8,4331.2,4331.2,38
2021-10-04 05:09:10,4331.0,4331.2,4331.0,4331.2,36
2021-10-04 05:09:20,4330.8,4331.0,4330.8,4331.0,6
2021-10-04 05:09:25,4331.0,4331.2,4331.0,4331.2,38
2021-10-04 05:09:30,4331.2,4331.2,4331.2,4331.2,12
2021-10-04 05:09:35,4331.5,4332.5,4331.5,4332.0,69
2021-10-04 05:09:40,4332.0,4332.5,4332.0,4332.2,35
2021-10-04 05:09:45,4332.0,4332.0,4332.0,4332.0,2
2021-10-04 05:09:55,4332.0,4332.0,4331.2,4331.5,36
2021-10-04 05:10:00,4331.8,4332.5,4331.8,4332.5,44
2021-10-04 05:10:05,4332.5,4332.5,4332.2,4332.5,13
2021-10-04 05:10:10,4332.5,4333.0,4332.5,4332.8,13
2021-10-04 05:10:15,4332.8,4332.8,4332.5,4332.8,13
2021-10-04 05:10:20,4332.5,4332.5,4332.0,4332.0,9
2021-10-04 05:10:30,4332.0,4332.2,4332.0,4332.2,10
2021-10-04 05:10:35,4332.5,4332.8,4332.5,4332.8,11
2021-10-04 05:10:40,4332.8,4333.0,4332.5,4332.8,63
2021-10-04 05:10:45,4332.8,4333.0,4332.8,4332.8,13
2021-10-04 05:10:55,4332.8,4333.0,4332.8,4333.0,37
2021-10-04 05:11:00,4333.2,4333.5,4332.5,4332.8,17
